first_name,salary,sex,age,dob,country,job,review,sentiment,longitude,latitude
Tamara,212747,F,83,1937-02-24,Gibraltar,Lexicographer,Hot decide away medical name will indeed wonder.,Negative,32.348177,32.8474885
Adam,213576,F,0,2020-09-28,Belize,Theatre manager,Perform strategy happen enter sign.,Positive,-29.163839,57.6205145
Anne,142026,M,17,2003-11-05,Tajikistan,"Programmer, applications",Game without you wrong discussion send. Best magazine that talk.,Negative,-5.290119,-2.5980085
James,158327,F,105,1915-03-24,Lesotho,"Programmer, applications",Improve report billion course. Perhaps value hair hour shake.,Negative,113.094798,-62.0734085
Alexander,195231,F,54,1966-09-05,Fiji,Lexicographer,Development behind bad.,Positive,-124.948062,-19.822967
Shannon,40722,M,54,1966-02-01,Gibraltar,Theatre manager,Fast situation particularly goal beat paper worry.,Positive,145.193365,40.3080935
Brooke,236422,F,57,1963-09-28,Lesotho,Lexicographer,Bit tonight read fire investment whose. Close but result red reflect mouth law.,Negative,42.907015,-84.4741325
Cameron,137232,F,75,1945-04-11,Tajikistan,Hydrogeologist,Experience marriage yes management challenge.,Neutral,59.226039,64.861295
Todd,140597,M,18,2002-08-10,Tajikistan,Waste management officer,Daughter offer nearly least oil several. Sense begin ten another.,Negative,147.583907,-12.892592
Tyler,237810,M,105,1915-12-14,Belize,Lexicographer,Its he true add plant. Civil among past store move very finally.,Positive,-28.501949,0.276663
Joshua,48231,M,60,1960-02-24,Fiji,Catering manager,Work their or card. Score cost wife grow wrong.,Neutral,169.608837,19.56311
Rachel,138448,M,42,1978-02-16,Tajikistan,Theatre manager,Federal single deal assume. Important total as theory kind one.,Neutral,36.729472,-58.673834
Angela,171003,M,39,1981-03-01,Gibraltar,"Programmer, applications",Budget mean early future past partner break.,Neutral,62.481078,57.4175145
Matthew,55848,M,96,1924-01-30,Gibraltar,Catering manager,Agency choice finish any. Left itself above enjoy player well get.,Neutral,53.605816,51.7553085
Haley,213763,M,79,1941-08-03,Lesotho,"Engineer, petroleum",Red more site least others more mind. Finally audience probably cell.,Positive,-6.453604,-83.6023355
Jasmine,66447,M,69,1951-03-19,Fiji,Hydrogeologist,Around modern behavior turn size experience beyond.,Positive,-34.40483,-58.1130425
Raymond,131018,F,93,1927-12-07,Fiji,"Programmer, applications",Surface quickly key expect. Would ask dog rather partner town safe.,Negative,97.047991,-24.9151625
Ashley,68462,F,106,1914-05-06,Belize,Catering manager,Enter drive develop Mrs what season decide. Democrat out who to.,Negative,41.898285,68.0899825
Jeffrey,42350,M,38,1982-04-05,Tajikistan,"Programmer, applications",Page system relationship. Cover stuff difficult add just ball.,Positive,96.145184,81.909199
Lindsey,145836,F,99,1921-09-02,Tajikistan,"Engineer, petroleum",Maybe short watch artist describe real thought. Special camera keep.,Positive,-14.131713,-54.551215
Mitchell,190164,M,87,1933-04-29,Tajikistan,"Programmer, applications",Professional as society church impact training.,Neutral,91.883319,-23.9518615
